Section,Name,Address,City,Province,Postal Code,Latitude,Longitude,Type,Google Maps Link
LifeLabs (BC),Wilson PSC,2185 WILSON AVE,PORT COQUITLAM,BC,,49.260878,-122.786489,clinic,"https://maps.google.com/?q=49.260878,-122.786489"
LifeLabs (BC),Woodridge PSC,650 WEST 41ST AVE,VANCOUVER,BC,,49.233989,-123.120398,clinic,"https://maps.google.com/?q=49.233989,-123.120398"
LifeLabs (BC),Yaletown PSC,136 DAVIE ST,VANCOUVER,BC,,49.273086,-123.121033,clinic,"https://maps.google.com/?q=49.273086,-123.121033"
LifeLabs (BC),Yarrow PSC,645 FORT ST,VICTORIA,BC,,48.424678,-123.366687,clinic,"https://maps.google.com/?q=48.424678,-123.366687"
LifeLabs (BC),Yates PSC,1120 YATES ST,VICTORIA,BC,,48.425252,-123.352518,clinic,"https://maps.google.com/?q=48.425252,-123.352518"
LifeLabs (BC),Bowen Island Patient Service Centre,#228-1037 Miller Road,Bowen Island,BC,V0N 1G1,49.383107,-123.339775,clinic,https://maps.google.com/?q=49.383107
,,,,,,,,,
DYNACARE ONTARIO,,,,,,,,,
Dynacare Ontario,TORONTO,B1-360 COLLEGE ST,TORONTO,ON,M5T 1S6,43.657288,-79.404403,clinic,"https://maps.google.com/?q=43.657288,-79.404403"
Dynacare Ontario,BOLTON,B2-30 MARTHA ST,BOLTON,ON,L7E 5V1,43.872784,-79.73162,clinic,"https://maps.google.com/?q=43.872784,-79.73162"
Dynacare Ontario,SUDBURY,B4-2009 LONG LAKE RD,SUDBURY,ON,P3E 6C3,37.605657,-82.324309,clinic,"https://maps.google.com/?q=37.605657,-82.324309"
Dynacare Ontario,SIMCOE,204-216 WEST ST,SIMCOE,ON,N3Y 1S8,44.50255,-80.209282,clinic,"https://maps.google.com/?q=44.50255,-80.209282"
Dynacare Ontario,TORONTO,620-170 ST GEORGE ST,TORONTO,ON,M5R 2M8,37.605657,-82.324309,clinic,"https://maps.google.com/?q=37.605657,-82.324309"
Dynacare Ontario,MASSEY,250 CAMERON ST,MASSEY,ON,P0P 1P0,46.209907,-82.072502,clinic,"https://maps.google.com/?q=46.209907,-82.072502"
Dynacare Ontario,TORONTO,304-1223 ST CLAIR AVE W,TORONTO,ON,M6E 1B5,43.667912,-79.487206,clinic,"https://maps.google.com/?q=43.667912,-79.487206"
Dynacare Ontario,OSHAWA,211 SIMCOE ST S,OSHAWA,ON,L1H 4H2,43.892134,-78.86093,clinic,"https://maps.google.com/?q=43.892134,-78.86093"
Dynacare Ontario,BRAMPTON,387-25 PEEL CENTRE DR,BRAMPTON,ON,L6T 3R5,43.719429,-79.720874,clinic,"https://maps.google.com/?q=43.719429,-79.720874"
Dynacare Ontario,TORONTO,245 EGLINTON AVE E,TORONTO,ON,M4P 3B7,43.708166,-79.389593,clinic,"https://maps.google.com/?q=43.708166,-79.389593"
Dynacare Ontario,PICKERING,1-720 SHEPPARD AVE,PICKERING,ON,L1V 1G5,43.821018,-79.121917,clinic,"https://maps.google.com/?q=43.821018,-79.121917"
Dynacare Ontario,BOLTON,202-12295 HIGHWAY 50,BOLTON,ON,L7E 1M2,43.854451,-79.702314,clinic,"https://maps.google.com/?q=43.854451,-79.702314"
Dynacare Ontario,SCARBOROUGH,B-1346 KINGSTON RD,SCARBOROUGH,ON,M1N 1P9,43.715854,-79.24298,clinic,"https://maps.google.com/?q=43.715854,-79.24298"
Dynacare Ontario,SCARBOROUGH,2600 EGLINTON AVE E,SCARBOROUGH,ON,M6M 2R9,43.73589,-79.252917,clinic,"https://maps.google.com/?q=43.73589,-79.252917"
Dynacare Ontario,TORONTO,344 BLOOR ST W,TORONTO,ON,M5S 3A7,43.666721,-79.404264,clinic,"https://maps.google.com/?q=43.666721,-79.404264"
Dynacare Ontario,BOWMANVILLE,222 KING ST E,BOWMANVILLE,ON,L1C 1P6,43.91148,-78.677561,clinic,"https://maps.google.com/?q=43.91148,-78.677561"
Dynacare Ontario,NORTH YORK,306 FINCH AVE E,NORTH YORK,ON,M2N 4S5,43.785017,-79.394048,clinic,"https://maps.google.com/?q=43.785017,-79.394048"
Dynacare Ontario,SCARBOROUGH,9 NEILSON RD,SCARBOROUGH,ON,M1E 5E1,43.781646,-79.20311,clinic,"https://maps.google.com/?q=43.781646,-79.20311"
Dynacare Ontario,EAST YORK,200 DAWES RD,EAST YORK,ON,M4C 5M8,43.695767,-79.298623,clinic,"https://maps.google.com/?q=43.695767,-79.298623"
Dynacare Ontario,TILLSONBURG,154 ROLPH ST,TILLSONBURG,ON,N4G 3Z1,42.863013,-80.734218,clinic,"https://maps.google.com/?q=42.863013,-80.734218"
Dynacare Ontario,THORNHILL,206-7330 YONGE ST,THORNHILL,ON,L4J 7Y7,43.815993,-79.424627,clinic,"https://maps.google.com/?q=43.815993,-79.424627"
Dynacare Ontario,TORONTO,1ST FL-250 UNIVERSITY AVE,TORONTO,ON,M5H 3E5,38.67524,-0.809962,clinic,"https://maps.google.com/?q=38.67524,-0.809962"
Dynacare Ontario,ST CATHARINES,524 LAKE ST,ST CATHARINES,ON,L2N 4H4,43.190314,-79.25178,clinic,"https://maps.google.com/?q=43.190314,-79.25178"
Dynacare Ontario,LONDON,190 WORTLEY RD,LONDON,ON,N6C 4Y7,42.970923,-81.251907,clinic,"https://maps.google.com/?q=42.970923,-81.251907"
Dynacare Ontario,WOODSTOCK,550 INGERSOLL AVE,WOODSTOCK,ON,N4S 4Y3,43.137016,-80.755263,clinic,"https://maps.google.com/?q=43.137016,-80.755263"
Dynacare Ontario,STRATFORD,287 HURON ST,STRATFORD,ON,N5A 5T3,43.376384,-80.993566,clinic,"https://maps.google.com/?q=43.376384,-80.993566"
Dynacare Ontario,LONDON,201-1135 ADELAIDE ST N,LONDON,ON,N5Y 5K7,43.03723,-81.256641,clinic,"https://maps.google.com/?q=43.03723,-81.256641"
Dynacare Ontario,WINDSOR,3950 DOUGALL AVE,WINDSOR,ON,N9G 1X2,42.250644,-82.999116,clinic,"https://maps.google.com/?q=42.250644,-82.999116"
Dynacare Ontario,LONDON,600 SANATORIUM RD,LONDON,ON,N6H 3W7,42.965489,-81.33446,clinic,"https://maps.google.com/?q=42.965489,-81.33446"
Dynacare Ontario,BRACEBRIDGE,8 TAYLOR RD,BRACEBRIDGE,ON,P1L 1S6,45.041893,-79.31001,clinic,"https://maps.google.com/?q=45.041893,-79.31001"
Dynacare Ontario,NEPEAN,250B GREENBANK RD,NEPEAN,ON,K2H 8X4,45.249767,-75.733841,clinic,"https://maps.google.com/?q=45.249767,-75.733841"
Dynacare Ontario,NEPEAN,1637 WOODROFFE AVE,NEPEAN,ON,K2G 1W2,45.33127,-75.749986,clinic,"https://maps.google.com/?q=45.33127,-75.749986"
Dynacare Ontario,OTTAWA,11 ROSEMOUNT AVE,OTTAWA,ON,K1Y 4R8,45.401965,-75.725898,clinic,"https://maps.google.com/?q=45.401965,-75.725898"
Dynacare Ontario,PRESCOTT,276 KING ST W,PRESCOTT,ON,K0E 1T0,44.708756,-75.515781,clinic,"https://maps.google.com/?q=44.708756,-75.515781"
Dynacare Ontario,OTTAWA,550-1335 CARLING AVE,OTTAWA,ON,K1Z 8N8,45.395151,-75.712087,clinic,"https://maps.google.com/?q=45.395151,-75.712087"
Dynacare Ontario,CARP,119 LANGSTAFF DR,CARP,ON,K0A 1L0,45.345433,-76.031836,clinic,"https://maps.google.com/?q=45.345433,-76.031836"
Dynacare Ontario,OTTAWA,356 WOODROFFE AVE,OTTAWA,ON,K2A 3V6,45.370317,-75.771309,clinic,"https://maps.google.com/?q=45.370317,-75.771309"
Dynacare Ontario,VANIER,261 MONTREAL RD,VANIER,ON,K1L 8C7,45.436693,-75.660767,clinic,"https://maps.google.com/?q=45.436693,-75.660767"
